Namespace(activation_fn='gelu', base_channel=32, base_sigma=0.0, batch={8: 256, 16: 256, 32: 128, 64: 128, 128: 64, 256: 32}, batch_default=128, bn=False, ckpt=None, conditional=True, cyclic=False, data_root='./data/', dataset='cifar10', device=0, eval_step=50, from_beginning=False, from_rgb_activate=False, init_size=8, initial='uniform', l2_coefficient=0.0, langevin_lr=2.0, langevin_step=80, load=False, lr={8: 0.001, 16: 0.0012, 32: 0.0015, 64: 0.0015, 128: 0.0015}, lr_default=0.0005, max_size=32, mode='train', name_suffix='step', noise_ratio=1.0, phase=1000000, pro=True, projection=True, res=True, run_dir='results/cifar10_step/00003-step80-trunc1.0-res32-lr2.0-uniform-ch32', save_path='results', sched=True, soft=True, spectral=True, split_bn=False, stats_path='./stats/cifar10.npz', truncation=1.0, val_clip=1.1)
Itr:      0 Kimg:        0, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0790 f(x_q)=  0.3501
Itr:    100 Kimg:       25, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1411 f(x_q)=  0.1381
Itr:    200 Kimg:       51, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1499 f(x_q)=  0.1521
Itr:    300 Kimg:       77, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0935 f(x_q)=  0.1811
Itr:    400 Kimg:      102, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1219 f(x_q)=  0.1280
Itr:    500 Kimg:      128, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1396 f(x_q)=  0.1289
Itr:    600 Kimg:      153, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1468 f(x_q)=  0.1719
Itr:    700 Kimg:      179, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1756 f(x_q)=  0.2499
Itr:    800 Kimg:      205, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1522 f(x_q)=  0.1819
Itr:    900 Kimg:      230, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1372 f(x_q)=  0.1098
Itr:   1000 Kimg:      256, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1373 f(x_q)=  0.1547
Itr:   1100 Kimg:      281, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1366 f(x_q)=  0.1224
Itr:   1200 Kimg:      307, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1549 f(x_q)=  0.1573
Itr:   1300 Kimg:      333, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1520 f(x_q)=  0.1662
Itr:   1400 Kimg:      358, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1405 f(x_q)=  0.1071
Itr:   1500 Kimg:      384, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1264 f(x_q)=  0.0987
Itr:   1600 Kimg:      409, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1420 f(x_q)=  0.1346
Itr:   1700 Kimg:      435, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1343 f(x_q)=  0.1170
