Namespace(activation_fn='gelu', base_channel=32, base_sigma=0.0, batch={8: 256, 16: 256, 32: 128, 64: 128, 128: 64, 256: 32}, batch_default=128, bn=False, ckpt=None, conditional=True, cyclic=False, data_root='./data/', dataset='cifar10', device=0, eval_step=50, from_beginning=False, from_rgb_activate=False, init_size=8, initial='uniform', l2_coefficient=0.0, langevin_lr=2.0, langevin_step=40, load=False, lr={8: 0.001, 16: 0.0012, 32: 0.0015, 64: 0.0015, 128: 0.0015}, lr_default=0.0005, max_size=32, mode='train', name_suffix='step', noise_ratio=1.0, phase=1000000, pro=True, projection=True, res=True, run_dir='results/cifar10_step/00006-step40-trunc1.0-res32-lr2.0-uniform-ch32', save_path='results', sched=True, soft=True, spectral=True, split_bn=False, stats_path='./stats/cifar10.npz', truncation=1.0, val_clip=1.1)
Itr:      0 Kimg:        0, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0730 f(x_q)=  0.3509
Itr:    100 Kimg:       25, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2514 f(x_q)=  0.2009
Itr:    200 Kimg:       51, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2952 f(x_q)=  0.2793
Itr:    300 Kimg:       77, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2836 f(x_q)=  0.3073
Itr:    400 Kimg:      102, Alpha: 1.00, Res:   8, f(x_p_d)=  0.3518 f(x_q)=  0.3830
Itr:    500 Kimg:      128, Alpha: 1.00, Res:   8, f(x_p_d)=  0.3620 f(x_q)=  0.3516
Itr:    600 Kimg:      153, Alpha: 1.00, Res:   8, f(x_p_d)=  0.3693 f(x_q)=  0.3602
Itr:    700 Kimg:      179, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2910 f(x_q)=  0.2959
Itr:    800 Kimg:      205, Alpha: 1.00, Res:   8, f(x_p_d)=  0.3695 f(x_q)=  0.4518
Itr:    900 Kimg:      230, Alpha: 1.00, Res:   8, f(x_p_d)=  0.4063 f(x_q)=  0.3646
Itr:   1000 Kimg:      256, Alpha: 1.00, Res:   8, f(x_p_d)=  0.3895 f(x_q)=  0.3646
Itr:   1100 Kimg:      281, Alpha: 1.00, Res:   8, f(x_p_d)=  0.3944 f(x_q)=  0.3495
Itr:   1200 Kimg:      307, Alpha: 1.00, Res:   8, f(x_p_d)=  0.4152 f(x_q)=  0.4986
Itr:   1300 Kimg:      333, Alpha: 1.00, Res:   8, f(x_p_d)=  0.4080 f(x_q)=  0.4048
Itr:   1400 Kimg:      358, Alpha: 1.00, Res:   8, f(x_p_d)=  0.3835 f(x_q)=  0.3594
Itr:   1500 Kimg:      384, Alpha: 1.00, Res:   8, f(x_p_d)=  0.3661 f(x_q)=  0.3380
Itr:   1600 Kimg:      409, Alpha: 1.00, Res:   8, f(x_p_d)=  0.4019 f(x_q)=  0.4181
