Namespace(activation_fn='gelu', base_channel=32, base_sigma=0.0, batch={8: 256, 16: 256, 32: 128, 64: 128, 128: 64, 256: 32}, batch_default=128, bn=False, ckpt=None, conditional=True, cyclic=False, data_root='./data/', dataset='cifar10', device=0, eval_step=50, from_beginning=False, from_rgb_activate=False, init_size=8, initial='uniform', l2_coefficient=0.0, langevin_lr=2.0, langevin_step=70, load=False, lr={8: 0.001, 16: 0.0012, 32: 0.0015, 64: 0.0015, 128: 0.0015}, lr_default=0.0005, max_size=32, mode='train', name_suffix='step', noise_ratio=1.0, phase=1000000, pro=True, projection=True, res=True, run_dir='results/cifar10_step/00002-step70-trunc1.0-res32-lr2.0-uniform-ch32', save_path='results', sched=True, soft=True, spectral=True, split_bn=False, stats_path='./stats/cifar10.npz', truncation=1.0, val_clip=1.1)
Itr:      0 Kimg:        0, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0775 f(x_q)=  0.3498
Itr:    100 Kimg:       25, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2170 f(x_q)=  0.2300
Itr:    200 Kimg:       51, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2106 f(x_q)=  0.2235
Itr:    300 Kimg:       77, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2505 f(x_q)=  0.2207
Itr:    400 Kimg:      102, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2126 f(x_q)=  0.2278
Itr:    500 Kimg:      128, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2137 f(x_q)=  0.2319
Itr:    600 Kimg:      153, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1905 f(x_q)=  0.1737
Itr:    700 Kimg:      179, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2063 f(x_q)=  0.2446
Itr:    800 Kimg:      205, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1559 f(x_q)=  0.2065
Itr:    900 Kimg:      230, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1927 f(x_q)=  0.1891
Itr:   1000 Kimg:      256, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1672 f(x_q)=  0.1383
Itr:   1100 Kimg:      281, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1890 f(x_q)=  0.1844
Itr:   1200 Kimg:      307, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2194 f(x_q)=  0.3009
Itr:   1300 Kimg:      333, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2153 f(x_q)=  0.2427
Itr:   1400 Kimg:      358, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1945 f(x_q)=  0.1746
Itr:   1500 Kimg:      384, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1757 f(x_q)=  0.1711
Itr:   1600 Kimg:      409, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1793 f(x_q)=  0.1970
Itr:   1700 Kimg:      435, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1777 f(x_q)=  0.1624
Itr:   1800 Kimg:      461, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1774 f(x_q)=  0.1755
Itr:   1900 Kimg:      486, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1919 f(x_q)=  0.2233
Itr:   2000 Kimg:      512, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2199 f(x_q)=  0.2292
Calculate FID...
Itr:   2000, FID:   221.771
Itr:   2100 Kimg:      537, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2086 f(x_q)=  0.2518
Itr:   2200 Kimg:      563, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2010 f(x_q)=  0.1788
Itr:   2300 Kimg:      589, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1906 f(x_q)=  0.1988
Itr:   2400 Kimg:      614, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1766 f(x_q)=  0.1717
