Namespace(activation_fn='gelu', base_channel=32, base_sigma=0.0, batch={8: 256, 16: 256, 32: 128, 64: 128, 128: 64, 256: 32}, batch_default=128, bn=False, ckpt=None, conditional=True, cyclic=False, data_root='./data/', dataset='cifar10', device=0, eval_step=50, from_beginning=False, from_rgb_activate=False, init_size=8, initial='uniform', l2_coefficient=0.0, langevin_lr=2.0, langevin_step=30, load=False, lr={8: 0.001, 16: 0.0012, 32: 0.0015, 64: 0.0015, 128: 0.0015}, lr_default=0.0005, max_size=32, mode='train', name_suffix='step', noise_ratio=1.0, phase=1000000, pro=True, projection=True, res=True, run_dir='results/cifar10_step/00007-step30-trunc1.0-res32-lr2.0-uniform-ch32', save_path='results', sched=True, soft=True, spectral=True, split_bn=False, stats_path='./stats/cifar10.npz', truncation=1.0, val_clip=1.1)
Itr:      0 Kimg:        0, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0784 f(x_q)=  0.3440
Itr:    100 Kimg:       25, Alpha: 1.00, Res:   8, f(x_p_d)=  0.3741 f(x_q)=  0.5001
Itr:    200 Kimg:       51, Alpha: 1.00, Res:   8, f(x_p_d)=  0.4138 f(x_q)=  0.4467
Itr:    300 Kimg:       77, Alpha: 1.00, Res:   8, f(x_p_d)=  0.3980 f(x_q)=  0.3346
Itr:    400 Kimg:      102, Alpha: 1.00, Res:   8, f(x_p_d)=  0.4837 f(x_q)=  0.5310
Itr:    500 Kimg:      128, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2682 f(x_q)=  0.1594
Itr:    600 Kimg:      153, Alpha: 1.00, Res:   8, f(x_p_d)=  0.5282 f(x_q)=  0.6352
Itr:    700 Kimg:      179, Alpha: 1.00, Res:   8, f(x_p_d)=  0.5095 f(x_q)=  0.6763
Itr:    800 Kimg:      205, Alpha: 1.00, Res:   8, f(x_p_d)=  0.4675 f(x_q)=  0.4524
Itr:    900 Kimg:      230, Alpha: 1.00, Res:   8, f(x_p_d)=  0.4374 f(x_q)=  0.3904
Itr:   1000 Kimg:      256, Alpha: 1.00, Res:   8, f(x_p_d)=  0.4723 f(x_q)=  0.4790
