Namespace(activation_fn='gelu', base_channel=32, base_sigma=0.0, batch={8: 256, 16: 256, 32: 128, 64: 128, 128: 64, 256: 32}, batch_default=128, bn=False, ckpt=None, conditional=True, cyclic=False, data_root='./data/', dataset='cifar10', device=0, eval_step=50, from_beginning=False, from_rgb_activate=False, init_size=8, initial='uniform', l2_coefficient=0.0, langevin_lr=2.0, langevin_step=90, load=False, lr={8: 0.001, 16: 0.0012, 32: 0.0015, 64: 0.0015, 128: 0.0015}, lr_default=0.0005, max_size=32, mode='train', name_suffix='step', noise_ratio=1.0, phase=1000000, pro=True, projection=True, res=True, run_dir='results/cifar10_step/00004-step90-trunc1.0-res32-lr2.0-uniform-ch32', save_path='results', sched=True, soft=True, spectral=True, split_bn=False, stats_path='./stats/cifar10.npz', truncation=1.0, val_clip=1.1)
Itr:      0 Kimg:        0, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0763 f(x_q)=  0.3653
Itr:    100 Kimg:       25, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1344 f(x_q)=  0.1410
Itr:    200 Kimg:       51, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1388 f(x_q)=  0.1382
Itr:    300 Kimg:       77, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1405 f(x_q)=  0.1322
Itr:    400 Kimg:      102, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1361 f(x_q)=  0.1263
Itr:    500 Kimg:      128, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1449 f(x_q)=  0.1385
Itr:    600 Kimg:      153, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1672 f(x_q)=  0.2482
Itr:    700 Kimg:      179, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1638 f(x_q)=  0.1970
Itr:    800 Kimg:      205, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1382 f(x_q)=  0.1707
Itr:    900 Kimg:      230, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1502 f(x_q)=  0.1401
Itr:   1000 Kimg:      256, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1705 f(x_q)=  0.1567
Itr:   1100 Kimg:      281, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1451 f(x_q)=  0.1157
Itr:   1200 Kimg:      307, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1458 f(x_q)=  0.1714
Itr:   1300 Kimg:      333, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1594 f(x_q)=  0.1800
Itr:   1400 Kimg:      358, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1433 f(x_q)=  0.1255
Itr:   1500 Kimg:      384, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1397 f(x_q)=  0.1232
Itr:   1600 Kimg:      409, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1402 f(x_q)=  0.1389
Itr:   1700 Kimg:      435, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1308 f(x_q)=  0.1098
Itr:   1800 Kimg:      461, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1371 f(x_q)=  0.1358
Itr:   1900 Kimg:      486, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1189 f(x_q)=  0.0781
Itr:   2000 Kimg:      512, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1638 f(x_q)=  0.1849
Calculate FID...
Itr:   2000, FID:   232.766
Itr:   2100 Kimg:      537, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1443 f(x_q)=  0.1490
Itr:   2200 Kimg:      563, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1507 f(x_q)=  0.1529
Itr:   2300 Kimg:      589, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1333 f(x_q)=  0.1250
Itr:   2400 Kimg:      614, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1587 f(x_q)=  0.2308
Itr:   2500 Kimg:      640, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1296 f(x_q)=  0.1031
Itr:   2600 Kimg:      665, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1404 f(x_q)=  0.1553
Itr:   2700 Kimg:      691, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1333 f(x_q)=  0.1254
Itr:   2800 Kimg:      717, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1652 f(x_q)=  0.2112
Itr:   2900 Kimg:      742, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1452 f(x_q)=  0.1263
Itr:   3000 Kimg:      768, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1335 f(x_q)=  0.1276
