Namespace(activation_fn='gelu', base_channel=32, base_sigma=0.0, batch={8: 256, 16: 256, 32: 128, 64: 128, 128: 64, 256: 32}, batch_default=128, bn=False, ckpt=None, conditional=True, cyclic=False, data_root='./data/', dataset='cifar10', device=0, eval_step=50, from_beginning=False, from_rgb_activate=False, init_size=8, initial='uniform', l2_coefficient=0.0, langevin_lr=2.0, langevin_step=100, load=False, lr={8: 0.001, 16: 0.0012, 32: 0.0015, 64: 0.0015, 128: 0.0015}, lr_default=0.0005, max_size=32, mode='train', name_suffix='step', noise_ratio=1.0, phase=1000000, pro=True, projection=True, res=True, run_dir='results/cifar10_step/00005-step100-trunc1.0-res32-lr2.0-uniform-ch32', save_path='results', sched=True, soft=True, spectral=True, split_bn=False, stats_path='./stats/cifar10.npz', truncation=1.0, val_clip=1.1)
Itr:      0 Kimg:        0, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0713 f(x_q)=  0.3499
Itr:   1400 Kimg:      358, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1418 f(x_q)=  0.1333
Itr:   1500 Kimg:      384, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1245 f(x_q)=  0.1208
Itr:   1600 Kimg:      409, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1345 f(x_q)=  0.1319
Itr:   1700 Kimg:      435, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1287 f(x_q)=  0.1200
Itr:   1800 Kimg:      461, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1399 f(x_q)=  0.1560
Itr:   1900 Kimg:      486, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1178 f(x_q)=  0.1134
Itr:   2000 Kimg:      512, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1358 f(x_q)=  0.1480
Calculate FID...
Itr:   2000, FID:   228.558
Itr:   2100 Kimg:      537, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1428 f(x_q)=  0.1658
Itr:   2200 Kimg:      563, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1600 f(x_q)=  0.1722
Itr:   2300 Kimg:      589, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1340 f(x_q)=  0.1293
Itr:   2400 Kimg:      614, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1367 f(x_q)=  0.1359
Itr:   2500 Kimg:      640, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1295 f(x_q)=  0.1061
Itr:   2600 Kimg:      665, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1469 f(x_q)=  0.1807
Itr:   2700 Kimg:      691, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1293 f(x_q)=  0.1218
Itr:   2800 Kimg:      717, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1421 f(x_q)=  0.1567
Itr:   2900 Kimg:      742, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1183 f(x_q)=  0.0973
Itr:   3000 Kimg:      768, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1214 f(x_q)=  0.1246
Itr:   3100 Kimg:      793, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1135 f(x_q)=  0.0957
Itr:   3200 Kimg:      819, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1316 f(x_q)=  0.1298
Itr:   3300 Kimg:      845, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1207 f(x_q)=  0.1017
Itr:   3400 Kimg:      870, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1143 f(x_q)=  0.1245
Itr:   3500 Kimg:      896, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1169 f(x_q)=  0.1009
Itr:   3600 Kimg:      921, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1262 f(x_q)=  0.1456
Itr:   3700 Kimg:      947, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1393 f(x_q)=  0.1684
Itr:   3800 Kimg:      973, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1151 f(x_q)=  0.1073
Itr:   3900 Kimg:      998, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1055 f(x_q)=  0.0817
Itr:   4000 Kimg:     1024, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1199 f(x_q)=  0.1355
Calculate FID...
Itr:   4000, FID:   202.751
Itr:   4100 Kimg:     1049, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1225 f(x_q)=  0.1172
Itr:   4200 Kimg:     1075, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1238 f(x_q)=  0.1112
Itr:   4300 Kimg:     1101, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1103 f(x_q)=  0.0825
Itr:   4400 Kimg:     1126, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1172 f(x_q)=  0.1057
Itr:   4500 Kimg:     1152, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1142 f(x_q)=  0.1066
Itr:   4600 Kimg:     1177, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1195 f(x_q)=  0.1563
Itr:   4700 Kimg:     1203, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1311 f(x_q)=  0.1613
Itr:   4800 Kimg:     1229, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1251 f(x_q)=  0.1085
Itr:   4900 Kimg:     1254, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1161 f(x_q)=  0.1276
Itr:   5000 Kimg:     1280, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1226 f(x_q)=  0.1202
Itr:   5100 Kimg:     1305, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1297 f(x_q)=  0.1005
Itr:   5200 Kimg:     1331, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1171 f(x_q)=  0.1186
Itr:   5300 Kimg:     1357, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1044 f(x_q)=  0.0828
Itr:   5400 Kimg:     1382, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1051 f(x_q)=  0.0730
Itr:   5500 Kimg:     1408, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0943 f(x_q)=  0.0774
Itr:   5600 Kimg:     1433, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1187 f(x_q)=  0.1140
Itr:   5700 Kimg:     1459, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1242 f(x_q)=  0.0991
Itr:   5800 Kimg:     1485, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1016 f(x_q)=  0.1020
Itr:   5900 Kimg:     1510, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1195 f(x_q)=  0.1116
Itr:   6000 Kimg:     1536, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1229 f(x_q)=  0.1120
Calculate FID...
Itr:   6000, FID:   196.514
Itr:   6100 Kimg:     1561, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1272 f(x_q)=  0.1070
Itr:   6200 Kimg:     1587, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1201 f(x_q)=  0.1217
Itr:   6300 Kimg:     1613, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1239 f(x_q)=  0.1278
Itr:   6400 Kimg:     1638, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1175 f(x_q)=  0.1285
Itr:   6500 Kimg:     1664, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1161 f(x_q)=  0.1109
Itr:   6600 Kimg:     1689, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1355 f(x_q)=  0.1499
Itr:   6700 Kimg:     1715, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1330 f(x_q)=  0.1770
Itr:   6800 Kimg:     1741, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1295 f(x_q)=  0.1278
Itr:   6900 Kimg:     1766, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1203 f(x_q)=  0.1124
Itr:   7000 Kimg:     1792, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1250 f(x_q)=  0.1205
Itr:   7100 Kimg:     1817, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1479 f(x_q)=  0.1786
Itr:   7200 Kimg:     1843, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1176 f(x_q)=  0.1105
Itr:   7300 Kimg:     1869, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1321 f(x_q)=  0.1428
Itr:   7400 Kimg:     1894, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1318 f(x_q)=  0.1330
Itr:   7500 Kimg:     1920, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1199 f(x_q)=  0.1271
Itr:   7600 Kimg:     1945, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1322 f(x_q)=  0.1364
Itr:   7700 Kimg:     1971, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1352 f(x_q)=  0.1619
Itr:   7800 Kimg:     1997, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1301 f(x_q)=  0.1258
Itr:   7900 Kimg:     2022, Alpha: 0.02, Res:  16, f(x_p_d)=  0.0993 f(x_q)=  0.0740
Itr:   8000 Kimg:     2048, Alpha: 0.05, Res:  16, f(x_p_d)=  0.1194 f(x_q)=  0.1516
Itr:   8100 Kimg:     2073, Alpha: 0.07, Res:  16, f(x_p_d)=  0.1191 f(x_q)=  0.1390
Itr:   8200 Kimg:     2099, Alpha: 0.10, Res:  16, f(x_p_d)=  0.1098 f(x_q)=  0.1085
Itr:   8300 Kimg:     2125, Alpha: 0.12, Res:  16, f(x_p_d)=  0.1171 f(x_q)=  0.1131
Itr:   8400 Kimg:     2150, Alpha: 0.15, Res:  16, f(x_p_d)=  0.2087 f(x_q)=  0.2545
Itr:   8500 Kimg:     2176, Alpha: 0.18, Res:  16, f(x_p_d)=  0.1561 f(x_q)=  0.1327
Itr:   8600 Kimg:     2201, Alpha: 0.20, Res:  16, f(x_p_d)=  0.1750 f(x_q)=  0.1438
Itr:   8700 Kimg:     2227, Alpha: 0.23, Res:  16, f(x_p_d)=  0.1760 f(x_q)=  0.1333
Itr:   8800 Kimg:     2253, Alpha: 0.25, Res:  16, f(x_p_d)=  0.2709 f(x_q)=  0.4803
Itr:   8900 Kimg:     2278, Alpha: 0.28, Res:  16, f(x_p_d)=  0.1322 f(x_q)=  0.0814
Itr:   9000 Kimg:     2304, Alpha: 0.30, Res:  16, f(x_p_d)=  0.2196 f(x_q)=  0.2133
Itr:   9100 Kimg:     2329, Alpha: 0.33, Res:  16, f(x_p_d)=  0.2003 f(x_q)=  0.2434
Itr:   9200 Kimg:     2355, Alpha: 0.36, Res:  16, f(x_p_d)=  0.2154 f(x_q)=  0.2481
Itr:   9300 Kimg:     2381, Alpha: 0.38, Res:  16, f(x_p_d)=  0.2026 f(x_q)=  0.2359
Itr:   9400 Kimg:     2406, Alpha: 0.41, Res:  16, f(x_p_d)=  0.2109 f(x_q)=  0.2200
Itr:   9500 Kimg:     2432, Alpha: 0.43, Res:  16, f(x_p_d)=  0.1807 f(x_q)=  0.1751
Itr:   9600 Kimg:     2457, Alpha: 0.46, Res:  16, f(x_p_d)=  0.1409 f(x_q)=  0.1014
Itr:   9700 Kimg:     2483, Alpha: 0.48, Res:  16, f(x_p_d)=  0.1905 f(x_q)=  0.1753
Itr:   9800 Kimg:     2509, Alpha: 0.51, Res:  16, f(x_p_d)=  0.1449 f(x_q)=  0.0915
Itr:   9900 Kimg:     2534, Alpha: 0.53, Res:  16, f(x_p_d)=  0.2106 f(x_q)=  0.1517
Itr:  10000 Kimg:     2560, Alpha: 0.56, Res:  16, f(x_p_d)=  0.2424 f(x_q)=  0.3481
Itr:  10100 Kimg:     2585, Alpha: 0.59, Res:  16, f(x_p_d)=  0.2788 f(x_q)=  0.2565
Itr:  10200 Kimg:     2611, Alpha: 0.61, Res:  16, f(x_p_d)=  0.2302 f(x_q)=  0.2211
Itr:  10300 Kimg:     2637, Alpha: 0.64, Res:  16, f(x_p_d)=  0.2990 f(x_q)=  0.2582
Itr:  10400 Kimg:     2662, Alpha: 0.66, Res:  16, f(x_p_d)=  0.2621 f(x_q)=  0.1189
Itr:  10500 Kimg:     2688, Alpha: 0.69, Res:  16, f(x_p_d)=  0.3384 f(x_q)=  0.3684
Itr:  10600 Kimg:     2713, Alpha: 0.71, Res:  16, f(x_p_d)=  0.2474 f(x_q)=  0.2052
Itr:  10700 Kimg:     2739, Alpha: 0.74, Res:  16, f(x_p_d)=  0.2786 f(x_q)=  0.2544
Itr:  10800 Kimg:     2765, Alpha: 0.76, Res:  16, f(x_p_d)=  0.2667 f(x_q)=  0.2174
Itr:  10900 Kimg:     2790, Alpha: 0.79, Res:  16, f(x_p_d)=  0.3881 f(x_q)=  0.2804
Itr:  11000 Kimg:     2816, Alpha: 0.82, Res:  16, f(x_p_d)=  0.3775 f(x_q)=  0.4776
Itr:  11100 Kimg:     2841, Alpha: 0.84, Res:  16, f(x_p_d)=  0.3081 f(x_q)=  0.0977
Itr:  11200 Kimg:     2867, Alpha: 0.87, Res:  16, f(x_p_d)=  0.4086 f(x_q)=  0.4918
Itr:  11300 Kimg:     2893, Alpha: 0.89, Res:  16, f(x_p_d)=  0.4910 f(x_q)=  0.8979
Itr:  11400 Kimg:     2918, Alpha: 0.92, Res:  16, f(x_p_d)=  0.3443 f(x_q)=  0.1802
Itr:  11500 Kimg:     2944, Alpha: 0.94, Res:  16, f(x_p_d)=  0.3466 f(x_q)=  0.1371
Itr:  11600 Kimg:     2969, Alpha: 0.97, Res:  16, f(x_p_d)=  0.4481 f(x_q)=  0.2958
Itr:  11700 Kimg:     2995, Alpha: 1.00, Res:  16, f(x_p_d)=  0.4957 f(x_q)=  0.4442
Itr:  11800 Kimg:     3021, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5243 f(x_q)=  0.4993
Itr:  11900 Kimg:     3046, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5795 f(x_q)=  0.5102
Itr:  12000 Kimg:     3072, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5223 f(x_q)=  0.5072
Calculate FID...
Itr:  12000, FID:   110.726
Itr:  12100 Kimg:     3097, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5781 f(x_q)=  0.5701
Itr:  12200 Kimg:     3123, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5040 f(x_q)=  0.4436
Itr:  12300 Kimg:     3149, Alpha: 1.00, Res:  16, f(x_p_d)=  0.6495 f(x_q)=  0.9293
Itr:  12400 Kimg:     3174, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5565 f(x_q)=  0.5503
Itr:  12500 Kimg:     3200, Alpha: 1.00, Res:  16, f(x_p_d)=  0.6421 f(x_q)=  0.6727
Itr:  12600 Kimg:     3225, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5383 f(x_q)=  0.3334
Itr:  12700 Kimg:     3251, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5235 f(x_q)=  0.4592
Itr:  12800 Kimg:     3277, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5577 f(x_q)=  0.4750
Itr:  12900 Kimg:     3302, Alpha: 1.00, Res:  16, f(x_p_d)=  0.6097 f(x_q)=  0.5908
Itr:  13000 Kimg:     3328, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5640 f(x_q)=  0.6493
Itr:  13100 Kimg:     3353, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5848 f(x_q)=  0.5268
Itr:  13200 Kimg:     3379, Alpha: 1.00, Res:  16, f(x_p_d)=  0.6056 f(x_q)=  0.5310
Itr:  13300 Kimg:     3405, Alpha: 1.00, Res:  16, f(x_p_d)=  0.6270 f(x_q)=  0.8137
Itr:  13400 Kimg:     3430, Alpha: 1.00, Res:  16, f(x_p_d)=  0.6007 f(x_q)=  0.5582
Itr:  13500 Kimg:     3456, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5545 f(x_q)=  0.7586
Itr:  13600 Kimg:     3481, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5395 f(x_q)=  0.5496
Itr:  13700 Kimg:     3507, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5754 f(x_q)=  0.5922
Itr:  13800 Kimg:     3533, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5735 f(x_q)=  0.6094
Itr:  13900 Kimg:     3558, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5543 f(x_q)=  0.5590
Itr:  14000 Kimg:     3584, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5970 f(x_q)=  0.5593
Calculate FID...
Itr:  14000, FID:    95.856
Itr:  14100 Kimg:     3609, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5419 f(x_q)=  0.5713
Itr:  14200 Kimg:     3635, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5652 f(x_q)=  0.5772
Itr:  14300 Kimg:     3661, Alpha: 1.00, Res:  16, f(x_p_d)=  0.7089 f(x_q)=  1.0471
Itr:  14400 Kimg:     3686, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5661 f(x_q)=  0.5409
Itr:  14500 Kimg:     3712, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5394 f(x_q)=  0.6230
Itr:  14600 Kimg:     3737, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5921 f(x_q)=  0.6352
Itr:  14700 Kimg:     3763, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5894 f(x_q)=  0.5668
Itr:  14800 Kimg:     3789, Alpha: 1.00, Res:  16, f(x_p_d)=  0.6685 f(x_q)=  0.8470
Itr:  14900 Kimg:     3814, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5638 f(x_q)=  0.6858
Itr:  15000 Kimg:     3840, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5680 f(x_q)=  0.5679
Itr:  15100 Kimg:     3865, Alpha: 1.00, Res:  16, f(x_p_d)=  0.6052 f(x_q)=  0.5762
Itr:  15200 Kimg:     3891, Alpha: 1.00, Res:  16, f(x_p_d)=  0.6137 f(x_q)=  0.7977
Itr:  15300 Kimg:     3917, Alpha: 1.00, Res:  16, f(x_p_d)=  0.6728 f(x_q)=  0.6385
Itr:  15400 Kimg:     3942, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5893 f(x_q)=  0.7272
Itr:  15500 Kimg:     3968, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5749 f(x_q)=  0.4834
Itr:  15600 Kimg:     3993, Alpha: 1.00, Res:  16, f(x_p_d)=  0.5552 f(x_q)=  0.4178
Itr:  15700 Kimg:     4009, Alpha: 0.01, Res:  32, f(x_p_d)=  0.4683 f(x_q)=  0.3297
Itr:  15800 Kimg:     4022, Alpha: 0.02, Res:  32, f(x_p_d)=  0.5330 f(x_q)=  0.5555
Itr:  15900 Kimg:     4035, Alpha: 0.04, Res:  32, f(x_p_d)=  0.5307 f(x_q)=  0.5252
Itr:  16000 Kimg:     4048, Alpha: 0.05, Res:  32, f(x_p_d)=  0.4552 f(x_q)=  0.4903
Itr:  16100 Kimg:     4061, Alpha: 0.06, Res:  32, f(x_p_d)=  0.4900 f(x_q)=  0.4044
Itr:  16200 Kimg:     4073, Alpha: 0.07, Res:  32, f(x_p_d)=  0.5761 f(x_q)=  0.6009
Itr:  16300 Kimg:     4086, Alpha: 0.09, Res:  32, f(x_p_d)=  0.3924 f(x_q)=  0.2682
Itr:  16400 Kimg:     4099, Alpha: 0.10, Res:  32, f(x_p_d)=  0.4082 f(x_q)=  0.6006
Itr:  16500 Kimg:     4112, Alpha: 0.11, Res:  32, f(x_p_d)=  0.4856 f(x_q)=  0.5741
Itr:  16600 Kimg:     4125, Alpha: 0.12, Res:  32, f(x_p_d)=  0.4990 f(x_q)=  0.3910
Itr:  16700 Kimg:     4137, Alpha: 0.14, Res:  32, f(x_p_d)=  0.4852 f(x_q)=  0.6095
Itr:  16800 Kimg:     4150, Alpha: 0.15, Res:  32, f(x_p_d)=  0.4364 f(x_q)=  0.3475
Itr:  16900 Kimg:     4163, Alpha: 0.16, Res:  32, f(x_p_d)=  0.3771 f(x_q)=  0.3230
Itr:  17000 Kimg:     4176, Alpha: 0.18, Res:  32, f(x_p_d)=  0.4083 f(x_q)=  0.4021
Itr:  17100 Kimg:     4189, Alpha: 0.19, Res:  32, f(x_p_d)=  0.2558 f(x_q)=  0.0688
Itr:  17200 Kimg:     4201, Alpha: 0.20, Res:  32, f(x_p_d)=  0.5052 f(x_q)=  0.7598
Itr:  17300 Kimg:     4214, Alpha: 0.21, Res:  32, f(x_p_d)=  0.5285 f(x_q)=  0.3450
Itr:  17400 Kimg:     4227, Alpha: 0.23, Res:  32, f(x_p_d)=  0.4875 f(x_q)=  0.3710
Itr:  17500 Kimg:     4240, Alpha: 0.24, Res:  32, f(x_p_d)=  0.4182 f(x_q)=  0.3022
Itr:  17600 Kimg:     4253, Alpha: 0.25, Res:  32, f(x_p_d)=  0.5507 f(x_q)=  0.5273
Itr:  17700 Kimg:     4265, Alpha: 0.27, Res:  32, f(x_p_d)=  0.4504 f(x_q)=  0.5296
Itr:  17800 Kimg:     4278, Alpha: 0.28, Res:  32, f(x_p_d)=  0.4240 f(x_q)=  0.3967
Itr:  17900 Kimg:     4291, Alpha: 0.29, Res:  32, f(x_p_d)=  0.5778 f(x_q)=  0.7447
Itr:  18000 Kimg:     4304, Alpha: 0.30, Res:  32, f(x_p_d)=  0.3875 f(x_q)=  0.4039
Itr:  18100 Kimg:     4317, Alpha: 0.32, Res:  32, f(x_p_d)=  0.4698 f(x_q)=  0.3181
Itr:  18200 Kimg:     4329, Alpha: 0.33, Res:  32, f(x_p_d)=  0.4644 f(x_q)=  0.5429
Itr:  18300 Kimg:     4342, Alpha: 0.34, Res:  32, f(x_p_d)=  0.4329 f(x_q)=  0.3248
Itr:  18400 Kimg:     4355, Alpha: 0.36, Res:  32, f(x_p_d)=  0.3948 f(x_q)=  0.3840
Itr:  18500 Kimg:     4368, Alpha: 0.37, Res:  32, f(x_p_d)=  0.2877 f(x_q)=  0.3301
Itr:  18600 Kimg:     4381, Alpha: 0.38, Res:  32, f(x_p_d)=  1.2904 f(x_q)=  2.7493
Itr:  18700 Kimg:     4393, Alpha: 0.39, Res:  32, f(x_p_d)=  0.3482 f(x_q)=  0.1168
Itr:  18800 Kimg:     4406, Alpha: 0.41, Res:  32, f(x_p_d)=  0.4513 f(x_q)=  0.3438
Itr:  18900 Kimg:     4419, Alpha: 0.42, Res:  32, f(x_p_d)=  0.3890 f(x_q)=  0.5274
Itr:  19000 Kimg:     4432, Alpha: 0.43, Res:  32, f(x_p_d)=  0.5556 f(x_q)=  0.6190
Itr:  19100 Kimg:     4445, Alpha: 0.44, Res:  32, f(x_p_d)=  0.3384 f(x_q)=  0.3474
Itr:  19200 Kimg:     4457, Alpha: 0.46, Res:  32, f(x_p_d)=  0.5229 f(x_q)=  0.5468
Itr:  19300 Kimg:     4470, Alpha: 0.47, Res:  32, f(x_p_d)=  0.4123 f(x_q)=  0.4091
Itr:  19400 Kimg:     4483, Alpha: 0.48, Res:  32, f(x_p_d)=  0.4819 f(x_q)=  0.5296
Itr:  19500 Kimg:     4496, Alpha: 0.50, Res:  32, f(x_p_d)=  0.5204 f(x_q)=  0.3864
Itr:  19600 Kimg:     4509, Alpha: 0.51, Res:  32, f(x_p_d)=  0.4365 f(x_q)=  0.4627
Itr:  19700 Kimg:     4521, Alpha: 0.52, Res:  32, f(x_p_d)=  0.6008 f(x_q)=  0.7205
Itr:  19800 Kimg:     4534, Alpha: 0.53, Res:  32, f(x_p_d)=  0.6576 f(x_q)=  0.7826
Itr:  19900 Kimg:     4547, Alpha: 0.55, Res:  32, f(x_p_d)=  0.5083 f(x_q)=  0.3666
Itr:  20000 Kimg:     4560, Alpha: 0.56, Res:  32, f(x_p_d)=  0.6988 f(x_q)=  0.8430
Itr:  20100 Kimg:     4573, Alpha: 0.57, Res:  32, f(x_p_d)=  0.7839 f(x_q)=  0.5788
Itr:  20200 Kimg:     4585, Alpha: 0.59, Res:  32, f(x_p_d)=  0.7237 f(x_q)=  0.9393
Itr:  20300 Kimg:     4598, Alpha: 0.60, Res:  32, f(x_p_d)=  0.6919 f(x_q)=  0.4222
Itr:  20400 Kimg:     4611, Alpha: 0.61, Res:  32, f(x_p_d)=  0.9324 f(x_q)=  0.4646
Itr:  20500 Kimg:     4624, Alpha: 0.62, Res:  32, f(x_p_d)=  1.0319 f(x_q)=  1.3985
Itr:  20600 Kimg:     4637, Alpha: 0.64, Res:  32, f(x_p_d)=  0.7962 f(x_q)=  0.3219
Itr:  20700 Kimg:     4649, Alpha: 0.65, Res:  32, f(x_p_d)=  1.3949 f(x_q)=  1.2886
Itr:  20800 Kimg:     4662, Alpha: 0.66, Res:  32, f(x_p_d)=  1.0963 f(x_q)=  1.0758
Itr:  20900 Kimg:     4675, Alpha: 0.68, Res:  32, f(x_p_d)=  1.3473 f(x_q)=  1.1241
Itr:  21000 Kimg:     4688, Alpha: 0.69, Res:  32, f(x_p_d)=  1.6682 f(x_q)=  1.8969
Itr:  21100 Kimg:     4701, Alpha: 0.70, Res:  32, f(x_p_d)=  1.9065 f(x_q)=  1.8958
Itr:  21200 Kimg:     4713, Alpha: 0.71, Res:  32, f(x_p_d)=  1.8110 f(x_q)=  2.3704
